"id","partner_id","name","address","region","is_active"
"1","9362d7ce-fcde-44c0-9a99-12f3bb012e42","Chi nhánh TP. Hồ Chí Minh","Công viên Văn hóa Đầm Sen - Số 03 Hòa Bình, Phường 3, Quận 11","TP. Hồ Chí Minh","true"
"2","d2b5310e-0e36-44e0-9fdc-05eae14bf633","Cơ sở Phú Nhuận","159/4 Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, TP.HCM","TP. Hồ Chí Minh","true"
"3","d2b5310e-0e36-44e0-9fdc-05eae14bf633","Cơ sở Quận 1","40E Ngô Đức Kế, Phường Bến Nghé, Quận 1, TP.HCM","TP. Hồ Chí Minh","true"
"4","d2b5310e-0e36-44e0-9fdc-05eae14bf633","Cơ sở Quận 3","149A Nguyễn Phúc Nguyên, Phường 10, Quận 3, TP.HCM","TP. Hồ Chí Minh","true"
"5","3c8db9ad-1e31-42ae-9e13-faab5b4a67dc","Chi nhánh TP. Hồ Chí Minh","NOVOTEL LIVING SAIGON SOUTH - 2 Đường C, Khu đô thị Phú Mỹ Hưng, Phường Tân Mỹ, TP.HCM","TP. Hồ Chí Minh","true"
"6","fc83285d-f925-41a8-8fc5-63f2b214f6d1","Chi nhánh TP. Hồ Chí Minh","Food Connexion - Tầng 3, Pullman Saigon Centre 5* - 148 Trần Hưng Đạo, Phường Cầu Ông Lãnh, Tp.HCM","TP. Hồ Chí Minh","true"
"7","56b165f0-19e9-40c6-8dab-046b868aa7a2","Chi nhánh TP. Hồ Chí Minh","La Brasserie - Hotel Nikko Saigon: Tầng 2, 235 Nguyễn Văn Cừ, Phường Cầu Ông Lãnh, Tp.HCM","TP. Hồ Chí Minh","true"
"8","93f68af5-95d1-4d99-b6de-c0ab81fcdb74","Chi nhánh TP. Hồ Chí Minh","Viễn Đông – Số 275A Phạm Ngũ Lão, Phường Bến Thành, Tp.HCM","TP. Hồ Chí Minh","true"
"9","28e30bce-1a55-4714-8606-2b1fdfbbd21b","Chi nhánh Phan Thiết","Golden Coast Resort & Spa Địa chỉ: 41 Lạc Long Quân, Tiến Thành, Phan Thiết","Phan Thiết","true"
"10","6d443dde-ac23-4510-8182-2688385fac4e","Chi nhánh TP. Hồ Chí Minh","TOP NAIL - 14B Võ Thị Sáu, Phường Tân Định, TP. Hồ Chí Minh","TP. Hồ Chí Minh","true"
"11","4997393b-db2e-4a76-819b-3163869f0c76","Chi nhánh TP. Hồ Chí Minh","Cơ sở áp dụng tại TP. Hồ Chí Minh","TP. Hồ Chí Minh","true"
"12","0ec4f9e8-bfa0-4016-a5e4-eb59eb3f1d84","Chi nhánh TP. Hồ Chí Minh","Metashow Exhibition duy nhất tại Tp.HCM","TP. Hồ Chí Minh","true"
"13","e8df35ad-79cd-467d-8ec0-6573ffbb2ae8","Chi nhánh TP. Hồ Chí Minh","Cơ sở áp dụng tại TP. Hồ Chí Minh","TP. Hồ Chí Minh","true"
"14","61edf7b0-851b-40d8-8c6b-62575495f172","Chi nhánh Hải Phòng","Nha Khoa Thẩm Mỹ White Smile Dental - 104 Nguyễn Công Trứ, P. S","Hải Phòng","true"
"15","41525856-c2df-4855-a65c-a14a1efa19e5","Hoàng Yến Buffet Vạn Hạnh Mall","Tầng 5, Vạn Hạnh Mall, 11 Sư Vạn Hạnh, Quận 10, TP.HCM","TP. Hồ Chí Minh","true"
"16","41525856-c2df-4855-a65c-a14a1efa19e5","Hoàng Yến Cuisine Hai Bà Trưng","148 Hai Bà Trưng, Phường Tân Định, Quận 1, TP.HCM","TP. Hồ Chí Minh","true"
"17","41525856-c2df-4855-a65c-a14a1efa19e5","Hoàng Yến Cuisine Ngô Đức Kế","7-9 Ngô Đức Kế, Phường Bến Nghé, Quận 1, TP.HCM","TP. Hồ Chí Minh","true"
"18","41525856-c2df-4855-a65c-a14a1efa19e5","Hoàng Yến Cuisine Hồ Bán Nguyệt","Lô CR1-12, 103 Tôn Dật Tiên, Phường Tân Phú, Quận 7, TP.HCM","TP. Hồ Chí Minh","true"
"19","41525856-c2df-4855-a65c-a14a1efa19e5","Trống Cơm Vincom Thảo Điền","Tầng 5, Vincom Mega Mall Thảo Điền, TP. Thủ Đức, TP.HCM","TP. Hồ Chí Minh","true"
"20","41525856-c2df-4855-a65c-a14a1efa19e5","Chảo Cá Crescent Mall","Tầng 5, Crescent Mall, 101 Tôn Dật Tiên, Phường Tân Phú, Quận 7, TP.HCM","TP. Hồ Chí Minh","true"
"21","292d002e-9836-4710-b760-7548b9a8d8ec","Chi nhánh TP. Hồ Chí Minh","Khu Hoa Viên Hồ Bơi - Khách sạn Đệ Nhất – 18 Hoàng Việt, Phường Tân Sơn Nhất, Tp.HCM","TP. Hồ Chí Minh","true"
"22","4e49c8c3-7e8c-43d6-9fab-f21e41b8ee53","Chi nhánh TP. Hồ Chí Minh","Lai - Towa - Tầng 28 Sedona Suites (Bên cạnh Sài Gòn Center) 92-94 Nam Kỳ Khởi Nghĩa, Phường Sài Gòn, TP. Hồ Chí Minh","TP. Hồ Chí Minh","true"
"23","9ddbba4e-9bfb-42df-8ccf-b23cb9c19348","Chi nhánh TP. Hồ Chí Minh","DU THUYỀN REVER SÀI GÒN 5* Xuất phát hàng ngày từ Cảng Sài Gòn tại số 05 Nguyễn Tất Thành, Phường 13, Quận 4","TP. Hồ Chí Minh","true"
"24","7b69857b-c8ee-4af1-ae98-faab17a05bef","Chi nhánh TP. Hồ Chí Minh","ROS YACHT CLUB - Địa chỉ đón khách: Bến Bạch Đằng - 10B Tôn Đức Thắng, Phường Sài Gòn, Tp. Hồ Chí Minh","TP. Hồ Chí Minh","true"
"25","03d75cea-49a9-4e06-adc4-126918b4bfac","Chi nhánh TP. Hồ Chí Minh","Saigon Prince Hotel 4* - Số 59 - 73 Nguyễn Huệ, Phường Sài Gòn, Tp. HCM","TP. Hồ Chí Minh","true"
"26","2a8fb810-cfb1-4015-9df1-13f512d4b36c","Chi nhánh TP. Hồ Chí Minh","ICON Saigon Cruise - Địa chỉ đón khách: Cảng Hành khách Tàu biển – Cảng Sài Gòn , số 5 Nguyễn Tất Thành, phường Xóm Chiếu, TP.HCM","TP. Hồ Chí Minh","true"
"27","868283d5-0a81-4924-955f-a3fd36b6e72f","Chi nhánh Lê Văn Sỹ","291B Lê Văn Sỹ, Phường Tân Sơn Hòa, Quận Tân Bình, TP.HCM","TP. Hồ Chí Minh","true"
"28","868283d5-0a81-4924-955f-a3fd36b6e72f","Chi nhánh Hoàng Hoa Thám","Số 7 Hoàng Hoa Thám, Phường 13, Quận Tân Bình, TP.HCM","TP. Hồ Chí Minh","true"
"29","7735db06-1b95-4c28-afc0-a26ec5b96ebe","Chi nhánh Hải Phòng","Chay Garden Thảo Điền - 52 Xuân Thủy, P. T","Hải Phòng","true"
"30","6ab66679-9771-454e-ba5b-0c1c4e541ce4","Chi nhánh TP. Hồ Chí Minh","Elite of Saigon - Premier Dining Cruise Xuất phát hàng ngày từ Cảng Sài Gòn tại số 05 Nguyễn Tất Thành, Phường 13, Quận 4","TP. Hồ Chí Minh","true"
"31","b6fafd3a-b72a-4b71-90be-7d9aa8c914a3","Chi nhánh TP. Hồ Chí Minh","Buffet Gánh Bông Sen - Khách sạn Bông Sen - Tầng 1, 117 - 123 Đồng Khởi, Phường Sài Gòn, Tp. HCM","TP. Hồ Chí Minh","true"
"32","a387fe03-4c0d-442e-9167-ddba01a0891c","Chi nhánh Hải Phòng","Hội nghị Dinh Độc Lập – Số 108 Nguyễn Du, P. B","Hải Phòng","true"
"33","633a7721-3b37-4d52-a9a7-1f8d536b02ba","Chi nhánh TP. Hồ Chí Minh","Viet Kitchen - Tầng Trệt, Renaissance Riverside Hotel Saigon: Số 8-15 Tôn Đức Thắng, Phường Sài Gòn, Tp.HCM","TP. Hồ Chí Minh","true"
"34","9e3328fc-7f8d-497b-af29-159595b088e5","Chi nhánh TP. Hồ Chí Minh","level 9 - Khách sạn Liberty Park View – 265 Phạm Ngũ Lão, Phường Bến Thành, TP.HCM","TP. Hồ Chí Minh","true"
"35","45ff3a02-ab26-4bc0-953b-232620db5a8c","Chi nhánh TP. Hồ Chí Minh","Ăn Được Phúc: Số 179 Phan Xích Long, Phường Cầu Kiệu, Tp.HCM","TP. Hồ Chí Minh","true"
"36","ff8514f8-637a-4ee8-a752-26a57fa7feae","Chi nhánh TP. Hồ Chí Minh","Hầm rượu Aum Wincellar - 06 Hồ Tùng Mậu, Phường Sài Gòn, Tp.HCM","TP. Hồ Chí Minh","true"
"37","416fea3a-ab97-4826-b86a-b8655a06d571","Chi nhánh TP. Hồ Chí Minh","Sai gon Princess - Luxurious Dining Cruise - Địa chỉ đón khách: Cảng Hành khách Tàu biển – Cảng Sài Gòn, số 5 Nguyễn Tất Thành, phường 13, quận 4","TP. Hồ Chí Minh","true"
"38","d02916e3-b8a3-4149-ad57-ac88855fffa9","Chi nhánh TP. Hồ Chí Minh","Cơ sở áp dụng tại TP. Hồ Chí Minh","TP. Hồ Chí Minh","true"
"39","35328fb5-dc40-420f-87db-2bf0e1c2a5d9","Chi nhánh TP. Hồ Chí Minh","Top Of The Town – Lầu 25, khu vực terrace ngoài trời, Khách sạn Windsor Plaza - Số 01 Sư Vạn Hạnh, phường An Đông, TP. HCM","TP. Hồ Chí Minh","true"
"40","50de7353-abc8-4640-9853-08f9fa9c5ba2","Chi nhánh TP. Hồ Chí Minh","Buffet Gánh Palace - Tầng 5, Khách sạn Palace Sài Gòn, 56-66 Nguyễn Huệ, Phường Sài Gòn, Tp. HCM","TP. Hồ Chí Minh","true"
"41","d8cae351-c01d-4279-a0c2-658f8ef501bd","Chi nhánh TP. Hồ Chí Minh","Panorama - Tầng 16, Northern Charm Hotel - 12 Lý Tự Trọng, Phường Sài Gòn, Tp.HCM","TP. Hồ Chí Minh","true"
"42","848d36bc-e063-41a1-b9d2-94bb29c61e47","Chi nhánh TP. Hồ Chí Minh","Cỏ Nội - Lầu 7 - Khách sạn Bông Sen - 117-123 Đồng Khởi, Phường Sài Gòn, Tp. HCM","TP. Hồ Chí Minh","true"
"43","2c7aee16-998f-4779-8031-f3afb4fbbefa","Chi nhánh TP. Hồ Chí Minh","Cơ sở áp dụng tại TP. Hồ Chí Minh","TP. Hồ Chí Minh","true"
