"id","owner_user_id","legal_name","tax_code","representative","business_category","logo_url","approval_status","operating_status","created_at","updated_at"
"9362d7ce-fcde-44c0-9a99-12f3bb012e42","afef54c0-c509-4a3d-bd04-f1c06922e7e6","Công Viên Văn Hóa Đầm Sen","0301000000","Đại Diện Công Viên Văn Hóa Đầm Sen","Giải Trí & Thể Thao","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"d2b5310e-0e36-44e0-9fdc-05eae14bf633","cd1b22e9-8057-4629-9275-5484c505f108","La Bella Pilates","0301000001","Đại Diện La Bella Pilates","Giải Trí & Thể Thao","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"3c8db9ad-1e31-42ae-9e13-faab5b4a67dc","d7c72160-67f9-4695-a479-0bbb321f6c2d","Novotel Living Saigon South","0301000002","Đại Diện Novotel Living Saigon South","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"fc83285d-f925-41a8-8fc5-63f2b214f6d1","02c24f17-11ea-4608-baaf-b36d406cec8c","Pullman Saigon Centre","0301000003","Đại Diện Pullman Saigon Centre","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"56b165f0-19e9-40c6-8dab-046b868aa7a2","993773c1-481a-49b6-b357-9fd2c1e6e934","Hotel Nikko Saigon","0301000004","Đại Diện Hotel Nikko Saigon","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"93f68af5-95d1-4d99-b6de-c0ab81fcdb74","ada11eb4-35fa-49fa-89e1-81f8f91e402c","Viễn Đông","0301000005","Đại Diện Viễn Đông","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"28e30bce-1a55-4714-8606-2b1fdfbbd21b","55baebfa-0751-46e0-b5e9-4a655b33054d","Golden Coast Resort & Spa","0301000006","Đại Diện Golden Coast Resort & Spa","Làm Đẹp & Spa","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"6d443dde-ac23-4510-8182-2688385fac4e","265ab1ad-1e0c-410c-b363-b6f4395dc632","Top Nail Q1","0301000007","Đại Diện Top Nail Q1","Làm Đẹp & Spa","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"4997393b-db2e-4a76-819b-3163869f0c76","04fbcfc2-f2ba-4060-9fee-8bdd7fbd5bd5","Hotel Majestic Sg","0301000008","Đại Diện Hotel Majestic Sg","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"0ec4f9e8-bfa0-4016-a5e4-eb59eb3f1d84","a27d259d-00e2-4b0d-b507-c4ae0ade359d","Metashow Exhibition","0301000009","Đại Diện Metashow Exhibition","Giải Trí & Thể Thao","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"e8df35ad-79cd-467d-8ec0-6573ffbb2ae8","36a01c84-8e10-4192-bd30-8a7eb51f8da0","Ty House Spa","0301000010","Đại Diện Ty House Spa","Làm Đẹp & Spa","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"61edf7b0-851b-40d8-8c6b-62575495f172","4c02c357-b07f-4280-85ed-13cbcabf558f","Nha Khoa White Smile Dental","0301000011","Đại Diện Nha Khoa White Smile Dental","Nha Khoa & Y Tế","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"41525856-c2df-4855-a65c-a14a1efa19e5","2ddd30d0-b757-4ceb-9fc1-6d3284a40c01","Hoàng Yến Group","0301000012","Đại Diện Hoàng Yến Group","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"292d002e-9836-4710-b760-7548b9a8d8ec","ba2e5f90-5761-4ddb-86df-0d1c0733e882","Khách Sạn Đệ Nhất","0301000013","Đại Diện Khách Sạn Đệ Nhất","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"4e49c8c3-7e8c-43d6-9fab-f21e41b8ee53","fc55d296-d0a6-4b48-a0c6-8d4b5fa1876e","Lai - Towa (Sedona Suites)","0301000014","Đại Diện Lai - Towa (Sedona Suites)","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"9ddbba4e-9bfb-42df-8ccf-b23cb9c19348","643d9fb1-7274-4ec1-9e76-9d27f681889f","Du Thuyền Rever Sài Gòn 5*","0301000015","Đại Diện Du Thuyền Rever Sài Gòn 5*","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"7b69857b-c8ee-4af1-ae98-faab17a05bef","581affc5-371c-429a-9795-d671fb4130d9","ROS Yacht Club","0301000016","Đại Diện ROS Yacht Club","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"03d75cea-49a9-4e06-adc4-126918b4bfac","2a17585d-7280-42fa-9613-077bc0268dea","Saigon Prince Hotel","0301000017","Đại Diện Saigon Prince Hotel","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"2a8fb810-cfb1-4015-9df1-13f512d4b36c","1e31511f-b133-4aee-83ef-addad5e91f73","Icon Saigon Cruise","0301000018","Đại Diện Icon Saigon Cruise","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"868283d5-0a81-4924-955f-a3fd36b6e72f","885d3e9e-6cbc-4f61-ab64-dbe738ff9bd3","Yuhua Lẩu Đài Loan","0301000019","Đại Diện Yuhua Lẩu Đài Loan","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"7735db06-1b95-4c28-afc0-a26ec5b96ebe","ea064c84-436d-425a-a64c-39c9895e108c","Chay Garden","0301000020","Đại Diện Chay Garden","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"6ab66679-9771-454e-ba5b-0c1c4e541ce4","bdc56845-8eb9-4279-a9fe-71ca0d69a3cf","Du Thuyền Elite Of Saigon","0301000021","Đại Diện Du Thuyền Elite Of Saigon","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"b6fafd3a-b72a-4b71-90be-7d9aa8c914a3","691b24fd-f471-4d37-a15e-5cfc96abf04c","Khách Sạn Bông Sen","0301000022","Đại Diện Khách Sạn Bông Sen","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"a387fe03-4c0d-442e-9167-ddba01a0891c","82e661d4-3a34-4c9e-8489-0b505e9ed2ae","LoaLoa Culture Dining Show","0301000023","Đại Diện LoaLoa Culture Dining Show","Giải Trí & Thể Thao","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"633a7721-3b37-4d52-a9a7-1f8d536b02ba","fec0f316-aee3-44f9-95e3-22e3e23bcb72","Renaissance Riverside Hotel","0301000024","Đại Diện Renaissance Riverside Hotel","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"9e3328fc-7f8d-497b-af29-159595b088e5","0f91848c-96d4-4813-9335-75d6af443e0f","Liberty Hotel Group","0301000025","Đại Diện Liberty Hotel Group","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"45ff3a02-ab26-4bc0-953b-232620db5a8c","aedddfa6-88cd-4496-a708-9dea9decba37","Ăn Được Phúc","0301000026","Đại Diện Ăn Được Phúc","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"ff8514f8-637a-4ee8-a752-26a57fa7feae","1df49664-fc45-4416-ac55-0937bfdbd81c","Hầm Rượu The Aumy Wine Cellar","0301000027","Đại Diện Hầm Rượu The Aumy Wine Cellar","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"416fea3a-ab97-4826-b86a-b8655a06d571","9824f351-375c-4045-ac9c-9a4b08d2f4d0","Du Thuyền Sai Gon Princess 5 Sao","0301000028","Đại Diện Du Thuyền Sai Gon Princess 5 Sao","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"d02916e3-b8a3-4149-ad57-ac88855fffa9","f19ea4da-e3cd-4909-895d-116485802400","Holiday Inn & Suites Saigon","0301000029","Đại Diện Holiday Inn & Suites Saigon","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"35328fb5-dc40-420f-87db-2bf0e1c2a5d9","fc3b7d00-6817-4a26-a7f3-eec9a8b684a0","Windsor Plaza Hotel","0301000030","Đại Diện Windsor Plaza Hotel","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"50de7353-abc8-4640-9853-08f9fa9c5ba2","e78341c3-b67c-4a95-b21b-73bcc2e25c3e","Buffet Gánh Palace Nguyễn Huệ","0301000031","Đại Diện Buffet Gánh Palace Nguyễn Huệ","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"d8cae351-c01d-4279-a0c2-658f8ef501bd","f5dcc0ff-fc83-45b9-9416-f204696da66f","Northern Charm Hotel","0301000032","Đại Diện Northern Charm Hotel","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"848d36bc-e063-41a1-b9d2-94bb29c61e47","31094a81-8b2e-4a27-adde-3f982731d9db","Nhà Hàng Chay Cỏ Nội","0301000033","Đại Diện Nhà Hàng Chay Cỏ Nội","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"2c7aee16-998f-4779-8031-f3afb4fbbefa","c898a89b-e712-4e3e-a848-676c2a8c3bbf","Dgemma Thủ Đức","0301000034","Đại Diện Dgemma Thủ Đức","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
